Commodity,Model,RMSE,MAE,sMAPE,N,sMAPE_rank,RMSE_rank,avg_rank
Bulb Onions (Yellow),S-Mamba,0.0482,0.0367,6.7227,60,1,1,1.0
Bulb Onions (Yellow),ARIMAX,0.0633,0.0485,8.7388,60,2,2,2.0
Bulb Onions (Yellow),TimeGPT,0.0778,0.061,11.812,60,3,3,3.0
Bulb Onions (Yellow),N-BEATS,0.0992,0.0819,14.0461,59,4,4,4.0
Bulb Onions (Yellow),Mamba,0.1216,0.1065,18.104,60,5,5,5.0
Bulb Onions (Yellow),SARIMA,0.1463,0.1128,18.5752,60,6,6,6.0
Cabbage,SARIMA,0.0454,0.0328,4.5971,60,1,2,1.5
Cabbage,ARIMAX,0.0451,0.0347,4.9976,60,2,1,1.5
Cabbage,TimeGPT,0.0593,0.0434,6.2865,60,3,3,3.0
Cabbage,N-BEATS,0.0722,0.0602,8.7885,59,4,4,4.0
Cabbage,S-Mamba,0.0907,0.0767,10.7041,60,5,5,5.0
Cabbage,Mamba,0.0921,0.0765,10.8726,60,6,6,6.0
Carrots,S-Mamba,0.0349,0.025,4.7679,60,1,1,1.0
Carrots,TimeGPT,0.052,0.0428,8.1623,60,2,2,2.0
Carrots,ARIMAX,0.0617,0.0497,9.4807,60,3,3,3.0
Carrots,N-BEATS,0.0806,0.0598,10.6075,59,4,5,4.5
Carrots,SARIMA,0.0714,0.0626,11.9133,60,5,4,4.5
Carrots,Mamba,0.1137,0.0967,17.2046,60,6,6,6.0
Lettuce,S-Mamba,0.0299,0.023,3.3154,60,1,2,1.5
Lettuce,Mamba,0.0298,0.0231,3.3448,60,2,1,1.5
Lettuce,ARIMAX,0.0332,0.0276,4.0274,60,3,3,3.0
Lettuce,SARIMA,0.0426,0.0345,5.0,60,4,4,4.0
Lettuce,TimeGPT,0.0426,0.0345,5.037,60,5,4,4.5
Lettuce,N-BEATS,0.092,0.0736,10.2958,59,6,6,6.0
